evaluation_year,architecture,policy,seed,accuracy,changed_accuracy,con_seats,lab_seats,lib_seats,natSW_seats,oth_seats
2005,32,validation_all_rates,101228,0.7977707006369427,0.5789473684210527,302,284,32,10,0
2005,32,validation_all_rates,101229,0.8248407643312102,0.5789473684210527,285,302,31,10,0
2005,32,validation_all_rates,101230,0.9092356687898089,0.5087719298245614,223,354,42,9,0
2005,32,validation_all_rates,101231,0.7802547770700637,0.5789473684210527,315,281,23,9,0
2005,32,validation_all_rates,101232,0.8057324840764332,0.5964912280701754,299,283,35,11,0
2005,32,fixed_0.3,101223,0.8009554140127388,0.6140350877192983,304,283,32,9,0
2005,32,fixed_0.3,101224,0.7977707006369427,0.631578947368421,309,268,40,11,0
2005,32,fixed_0.3,101225,0.8296178343949044,0.6140350877192983,285,296,37,10,0
2005,32,fixed_0.3,101226,0.7993630573248408,0.631578947368421,305,277,35,11,0
2005,32,fixed_0.3,101227,0.7914012738853503,0.6140350877192983,311,268,39,10,0
2005,32,fixed_0.3,101228,0.7643312101910829,0.631578947368421,329,253,35,11,0
2005,32,fixed_0.3,101229,0.7579617834394905,0.631578947368421,333,253,32,10,0
2005,32,fixed_0.3,101230,0.8232484076433121,0.6491228070175439,292,286,38,12,0
2005,32,fixed_0.3,101231,0.7547770700636943,0.6491228070175439,339,248,33,8,0
2005,32,fixed_0.3,101232,0.7914012738853503,0.631578947368421,312,268,36,12,0
2005,32_16,validation_all_rates,101223,0.7818471337579618,0.5789473684210527,311,264,42,11,0
2005,32_16,validation_all_rates,101224,0.7977707006369427,0.631578947368421,309,270,38,11,0
2005,32_16,validation_all_rates,101225,0.8805732484076433,0.49122807017543857,241,346,32,9,0
2005,32_16,validation_all_rates,101226,0.7388535031847133,0.6140350877192983,343,234,41,10,0
2005,32_16,validation_all_rates,101227,0.767515923566879,0.631578947368421,330,257,33,8,0
2005,32_16,validation_all_rates,101228,0.8184713375796179,0.6666666666666666,292,276,44,16,0
2005,32_16,validation_all_rates,101229,0.7770700636942676,0.631578947368421,322,262,34,10,0
2005,32_16,validation_all_rates,101230,0.7993630573248408,0.5964912280701754,302,279,36,11,0
2005,32_16,validation_all_rates,101231,0.7707006369426752,0.6140350877192983,325,266,30,7,0
2005,32_16,validation_all_rates,101232,0.8232484076433121,0.5789473684210527,285,296,36,11,0
2005,32_16,fixed_0.3,101223,0.785031847133758,0.5964912280701754,309,270,37,12,0
2005,32_16,fixed_0.3,101224,0.7882165605095541,0.631578947368421,315,268,34,11,0
2005,32_16,fixed_0.3,101225,0.8328025477707006,0.5789473684210527,282,312,26,8,0
2005,32_16,fixed_0.3,101226,0.7229299363057324,0.631578947368421,355,223,40,10,0
2005,32_16,fixed_0.3,101227,0.7802547770700637,0.631578947368421,322,264,34,8,0
2005,32_16,fixed_0.3,101228,0.8312101910828026,0.6491228070175439,283,287,44,14,0
2005,32_16,fixed_0.3,101229,0.8121019108280255,0.5789473684210527,295,291,34,8,0
2005,32_16,fixed_0.3,101230,0.8678343949044586,0.5964912280701754,253,328,46,1,0
2005,32_16,fixed_0.3,101231,0.7977707006369427,0.5964912280701754,304,277,37,10,0
2005,32_16,fixed_0.3,101232,0.8009554140127388,0.5964912280701754,301,282,34,11,0
2005,64_32,validation_all_rates,101223,0.785031847133758,0.631578947368421,317,268,35,8,0
2005,64_32,validation_all_rates,101224,0.7818471337579618,0.6140350877192983,317,263,37,11,0
2005,64_32,validation_all_rates,101225,0.89171974522293,0.3157894736842105,210,376,32,10,0
2005,64_32,validation_all_rates,101226,0.767515923566879,0.6491228070175439,329,252,38,9,0
2005,64_32,validation_all_rates,101227,0.7707006369426752,0.6140350877192983,325,257,36,10,0
2005,64_32,validation_all_rates,101228,0.8248407643312102,0.5964912280701754,288,297,33,10,0
2005,64_32,validation_all_rates,101229,0.7404458598726115,0.6491228070175439,348,237,36,7,0
2005,64_32,validation_all_rates,101230,0.8009554140127388,0.631578947368421,306,274,38,10,0
2005,64_32,validation_all_rates,101231,0.7754777070063694,0.631578947368421,322,264,34,8,0
2005,64_32,validation_all_rates,101232,0.8184713375796179,0.5964912280701754,290,293,34,11,0
2005,64_32,fixed_0.3,101223,0.8407643312101911,0.5614035087719298,274,303,42,9,0
2005,64_32,fixed_0.3,101224,0.7579617834394905,0.631578947368421,334,249,34,11,0
2005,64_32,fixed_0.3,101225,0.8805732484076433,0.3684210526315789,223,369,26,10,0
2005,64_32,fixed_0.3,101226,0.7659235668789809,0.631578947368421,329,251,39,9,0
2005,64_32,fixed_0.3,101227,0.7914012738853503,0.631578947368421,314,264,41,9,0
2005,64_32,fixed_0.3,101228,0.8009554140127388,0.631578947368421,307,280,31,10,0
2005,64_32,fixed_0.3,101229,0.7181528662420382,0.6491228070175439,363,225,33,7,0
2005,64_32,fixed_0.3,101230,0.7929936305732485,0.6491228070175439,313,269,35,11,0
2005,64_32,fixed_0.3,101231,0.8168789808917197,0.5263157894736842,283,288,46,11,0
2005,64_32,fixed_0.3,101232,0.8280254777070064,0.5964912280701754,285,290,42,11,0
2010,16,validation_all_rates,101223,0.8639240506329114,0.8303571428571429,372,213,40,7,0
2010,16,validation_all_rates,101224,0.8623417721518988,0.8125,360,213,53,6,0
2010,16,validation_all_rates,101225,0.8686708860759493,0.4017857142857143,263,302,63,3,1
2010,16,validation_all_rates,101226,0.8528481012658228,0.8571428571428571,381,202,43,6,0
2010,16,validation_all_rates,101227,0.8560126582278481,0.8660714285714286,383,209,36,4,0
2010,16,validation_all_rates,101228,0.8718354430379747,0.7767857142857143,352,230,44,6,0
2010,16,validation_all_rates,101229,0.7721518987341772,0.8839285714285714,442,162,18,10,0
2010,16,validation_all_rates,101230,0.8259493670886076,0.75,369,182,73,8,0
2010,16,validation_all_rates,101231,0.8132911392405063,0.8214285714285714,401,176,49,6,0
2010,16,validation_all_rates,101232,0.7832278481012658,0.875,428,171,29,4,0
2010,16,fixed_0.3,101223,0.8734177215189873,0.8482142857142857,369,232,31,0,0
2010,16,fixed_0.3,101224,0.8164556962025317,0.875,412,185,29,6,0
2010,16,fixed_0.3,101225,0.7958860759493671,0.875,426,173,27,6,0
2010,16,fixed_0.3,101226,0.8496835443037974,0.8660714285714286,389,216,21,6,0
2010,16,fixed_0.3,101227,0.8623417721518988,0.8571428571428571,378,229,22,3,0
2010,16,fixed_0.3,101228,0.8243670886075949,0.8660714285714286,402,191,37,2,0
2010,16,fixed_0.3,101229,0.8623417721518988,0.8482142857142857,369,227,34,2,0
2010,16,fixed_0.3,101230,0.7563291139240507,0.875,448,162,21,1,0
2010,16,fixed_0.3,101231,0.8227848101265823,0.8660714285714286,405,184,37,6,0
2010,16,fixed_0.3,101232,0.7990506329113924,0.8839285714285714,421,172,31,8,0
2010,32,validation_all_rates,101223,0.7895569620253164,0.875,423,159,40,10,0
2010,32,validation_all_rates,101224,0.8876582278481012,0.5892857142857143,301,286,40,5,0
2010,32,validation_all_rates,101225,0.7120253164556962,0.875,480,127,21,4,0
2010,32,validation_all_rates,101226,0.814873417721519,0.8839285714285714,413,186,22,11,0
2010,32,validation_all_rates,101227,0.8876582278481012,0.6875,324,272,32,4,0
2010,32,validation_all_rates,101228,0.8591772151898734,0.8392857142857143,372,221,36,3,0
2010,32,validation_all_rates,101229,0.8924050632911392,0.8303571428571429,352,232,42,6,0
2010,32,validation_all_rates,101230,0.8496835443037974,0.7678571428571429,358,194,70,10,0
2010,32,validation_all_rates,101231,0.819620253164557,0.8125,397,183,48,4,0
2010,32,validation_all_rates,101232,0.8132911392405063,0.875,414,195,20,3,0
