evaluation_year,architecture,policy,actual_party,predicted_party,seats
2005,64_32,fixed_0.3,con,lib,0
2005,64_32,fixed_0.3,con,natSW,0
2005,64_32,fixed_0.3,con,oth,0
2005,64_32,fixed_0.3,lab,con,94
2005,64_32,fixed_0.3,lab,lab,259
2005,64_32,fixed_0.3,lab,lib,0
2005,64_32,fixed_0.3,lab,natSW,2
2005,64_32,fixed_0.3,lab,oth,0
2005,64_32,fixed_0.3,lib,con,17
2005,64_32,fixed_0.3,lib,lab,8
2005,64_32,fixed_0.3,lib,lib,36
2005,64_32,fixed_0.3,lib,natSW,1
2005,64_32,fixed_0.3,lib,oth,0
2005,64_32,fixed_0.3,natSW,con,0
2005,64_32,fixed_0.3,natSW,lab,2
2005,64_32,fixed_0.3,natSW,lib,0
2005,64_32,fixed_0.3,natSW,natSW,7
2005,64_32,fixed_0.3,natSW,oth,0
2005,64_32,fixed_0.3,oth,con,2
2005,64_32,fixed_0.3,oth,lab,2
2005,64_32,fixed_0.3,oth,lib,0
2005,64_32,fixed_0.3,oth,natSW,0
2005,64_32,fixed_0.3,oth,oth,0
2010,16,validation_all_rates,con,con,300
2010,16,validation_all_rates,con,lab,1
2010,16,validation_all_rates,con,lib,5
2010,16,validation_all_rates,con,natSW,0
2010,16,validation_all_rates,con,oth,0
2010,16,validation_all_rates,lab,con,53
2010,16,validation_all_rates,lab,lab,201
2010,16,validation_all_rates,lab,lib,4
2010,16,validation_all_rates,lab,natSW,0
2010,16,validation_all_rates,lab,oth,0
2010,16,validation_all_rates,lib,con,19
2010,16,validation_all_rates,lib,lab,4
2010,16,validation_all_rates,lib,lib,34
2010,16,validation_all_rates,lib,natSW,0
2010,16,validation_all_rates,lib,oth,0
2010,16,validation_all_rates,natSW,con,1
2010,16,validation_all_rates,natSW,lab,2
2010,16,validation_all_rates,natSW,lib,0
2010,16,validation_all_rates,natSW,natSW,6
2010,16,validation_all_rates,natSW,oth,0
2010,16,validation_all_rates,oth,con,2
2010,16,validation_all_rates,oth,lab,0
2010,16,validation_all_rates,oth,lib,0
2010,16,validation_all_rates,oth,natSW,0
2010,16,validation_all_rates,oth,oth,0
2010,16,fixed_0.3,con,con,305
2010,16,fixed_0.3,con,lab,0
2010,16,fixed_0.3,con,lib,1
2010,16,fixed_0.3,con,natSW,0
2010,16,fixed_0.3,con,oth,0
2010,16,fixed_0.3,lab,con,63
