evaluation_year,architecture,policy,learning_rate,rows,accuracy,overall_changed_score,log_loss,brier,previous_winner_accuracy,known_previous_rows,known_previous_accuracy,previous_winner_known_accuracy,unknown_previous_rows,unknown_previous_accuracy,accuracy_gain_pp,changed_seats,correct_changes,changed_accuracy,called_changes,correct_change_precision,false_changes_on_held_seats,wrong_destination_on_changed_seats,held_seat_accuracy,seat_count_absolute_error
2017,64_32,validation_all_rates,1.0,632,0.8955696202531646,0.49256092952956737,0.4038652143039684,0.1835446057647524,0.8939873417721519,632,0.8955696202531646,0.8939873417721519,0,,0.15822784810126667,67,6,0.08955223880597014,11,0.5454545454545454,5,0,0.9911504424778761,80
2017,64_32,fixed_0.3,0.3,632,0.8908227848101266,0.48272482524088417,0.347819179860973,0.1795382049166242,0.8939873417721519,632,0.8908227848101266,0.8939873417721519,0,,-0.31645569620253333,67,5,0.07462686567164178,12,0.4166666666666667,7,0,0.9876106194690265,84
2019,16,validation_all_rates,0.05,632,0.8829113924050633,0.5532978014656895,0.296044320467936,0.1714606879339321,0.879746835443038,632,0.8829113924050633,0.879746835443038,0,,0.31645569620253333,76,17,0.2236842105263158,32,0.53125,15,0,0.9730215827338129,86
2019,16,fixed_0.3,0.3,632,0.9113924050632911,0.6728014656895402,0.2227525411438205,0.1265410640472775,0.879746835443038,632,0.9113924050632911,0.879746835443038,0,,3.164556962025311,76,33,0.4342105263157895,46,0.717391304347826,13,0,0.9766187050359713,46
2019,32,validation_all_rates,0.05,632,0.8718354430379747,0.5543387741505663,0.2930730194552984,0.1722825083305809,0.879746835443038,632,0.8718354430379747,0.879746835443038,0,,-0.7911392405063333,76,18,0.23684210526315788,41,0.43902439024390244,23,0,0.9586330935251799,96
2019,32,fixed_0.3,0.3,632,0.9129746835443038,0.6999083944037309,0.2186888643553723,0.123733883011929,0.879746835443038,632,0.9129746835443038,0.879746835443038,0,,3.322784810126578,76,37,0.4868421052631579,53,0.6981132075471698,16,0,0.9712230215827338,36
2019,32_16,validation_all_rates,0.3,632,0.9018987341772152,0.628580946035976,0.2437038358167262,0.1424909446544815,0.879746835443038,632,0.9018987341772152,0.879746835443038,0,,2.215189873417722,76,27,0.35526315789473684,40,0.675,13,0,0.9766187050359713,66
2019,32_16,fixed_0.3,0.3,632,0.9018987341772152,0.628580946035976,0.2437038358167262,0.1424909446544815,0.879746835443038,632,0.9018987341772152,0.879746835443038,0,,2.215189873417722,76,27,0.35526315789473684,40,0.675,13,0,0.9766187050359713,66
2019,64_32,validation_all_rates,0.3,632,0.8971518987341772,0.619628580946036,0.2364769536991285,0.1380504798597854,0.879746835443038,632,0.8971518987341772,0.879746835443038,0,,1.7405063291139222,76,26,0.34210526315789475,41,0.6341463414634146,15,0,0.9730215827338129,62
2019,64_32,fixed_0.3,0.3,632,0.8971518987341772,0.619628580946036,0.2364769536991285,0.1380504798597854,0.879746835443038,632,0.8971518987341772,0.879746835443038,0,,1.7405063291139222,76,26,0.34210526315789475,41,0.6341463414634146,15,0,0.9730215827338129,62
