evaluation_year,architecture,policy,previous_party,actual_party,seats,correctly_predicted,accuracy,predicted_previous_party
2010,32,validation_all_rates,con,lib,3,0,0.0,3
2010,32,validation_all_rates,con,oth,1,0,0.0,1
2010,32,validation_all_rates,lab,con,87,87,1.0,0
2010,32,validation_all_rates,lab,lab,256,198,0.7734375,198
2010,32,validation_all_rates,lab,lib,5,0,0.0,4
2010,32,validation_all_rates,lab,natSW,1,0,0.0,1
2010,32,validation_all_rates,lab,oth,1,0,0.0,0
2010,32,validation_all_rates,lib,con,12,10,0.8333333333333334,2
2010,32,validation_all_rates,lib,lab,1,0,0.0,1
2010,32,validation_all_rates,lib,lib,49,29,0.5918367346938775,29
2010,32,validation_all_rates,natSW,natSW,8,5,0.625,5
2010,32,validation_all_rates,oth,lab,1,0,0.0,0
2010,32,fixed_0.3,con,con,207,207,1.0,207
2010,32,fixed_0.3,con,lib,3,0,0.0,3
2010,32,fixed_0.3,con,oth,1,0,0.0,1
2010,32,fixed_0.3,lab,con,87,87,1.0,0
2010,32,fixed_0.3,lab,lab,256,191,0.74609375,191
2010,32,fixed_0.3,lab,lib,5,0,0.0,4
2010,32,fixed_0.3,lab,natSW,1,0,0.0,1
2010,32,fixed_0.3,lab,oth,1,0,0.0,0
2010,32,fixed_0.3,lib,con,12,11,0.9166666666666666,1
2010,32,fixed_0.3,lib,lab,1,0,0.0,1
2010,32,fixed_0.3,lib,lib,49,25,0.5102040816326531,25
2010,32,fixed_0.3,natSW,natSW,8,6,0.75,6
2010,32,fixed_0.3,oth,lab,1,0,0.0,0
2010,32_16,validation_all_rates,con,con,207,207,1.0,207
2010,32_16,validation_all_rates,con,lib,3,0,0.0,3
2010,32_16,validation_all_rates,con,oth,1,0,0.0,1
2010,32_16,validation_all_rates,lab,con,87,85,0.9770114942528736,2
2010,32_16,validation_all_rates,lab,lab,256,214,0.8359375,214
2010,32_16,validation_all_rates,lab,lib,5,0,0.0,5
2010,32_16,validation_all_rates,lab,natSW,1,0,0.0,1
2010,32_16,validation_all_rates,lab,oth,1,0,0.0,1
2010,32_16,validation_all_rates,lib,con,12,10,0.8333333333333334,2
2010,32_16,validation_all_rates,lib,lab,1,0,0.0,1
2010,32_16,validation_all_rates,lib,lib,49,29,0.5918367346938775,29
2010,32_16,validation_all_rates,natSW,natSW,8,7,0.875,7
2010,32_16,validation_all_rates,oth,lab,1,0,0.0,0
2010,32_16,fixed_0.3,con,con,207,207,1.0,207
2010,32_16,fixed_0.3,con,lib,3,0,0.0,3
2010,32_16,fixed_0.3,con,oth,1,0,0.0,1
2010,32_16,fixed_0.3,lab,con,87,87,1.0,0
2010,32_16,fixed_0.3,lab,lab,256,196,0.765625,196
2010,32_16,fixed_0.3,lab,lib,5,0,0.0,4
2010,32_16,fixed_0.3,lab,natSW,1,0,0.0,1
2010,32_16,fixed_0.3,lab,oth,1,0,0.0,0
2010,32_16,fixed_0.3,lib,con,12,10,0.8333333333333334,2
2010,32_16,fixed_0.3,lib,lab,1,0,0.0,1
2010,32_16,fixed_0.3,lib,lib,49,29,0.5918367346938775,29
2010,32_16,fixed_0.3,natSW,natSW,8,5,0.625,5
2010,32_16,fixed_0.3,oth,lab,1,0,0.0,0
2010,64_32,validation_all_rates,con,con,207,207,1.0,207
2010,64_32,validation_all_rates,con,lib,3,0,0.0,3
2010,64_32,validation_all_rates,con,oth,1,0,0.0,1
2010,64_32,validation_all_rates,lab,con,87,84,0.9655172413793104,3
2010,64_32,validation_all_rates,lab,lab,256,223,0.87109375,223
2010,64_32,validation_all_rates,lab,lib,5,0,0.0,5
2010,64_32,validation_all_rates,lab,natSW,1,0,0.0,1
2010,64_32,validation_all_rates,lab,oth,1,0,0.0,1
2010,64_32,validation_all_rates,lib,con,12,9,0.75,3
2010,64_32,validation_all_rates,lib,lab,1,0,0.0,1
2010,64_32,validation_all_rates,lib,lib,49,34,0.6938775510204082,34
2010,64_32,validation_all_rates,natSW,natSW,8,7,0.875,7
2010,64_32,validation_all_rates,oth,lab,1,0,0.0,0
2010,64_32,fixed_0.3,con,con,207,207,1.0,207
2010,64_32,fixed_0.3,con,lib,3,0,0.0,3
2010,64_32,fixed_0.3,con,oth,1,0,0.0,1
2010,64_32,fixed_0.3,lab,con,87,87,1.0,0
2010,64_32,fixed_0.3,lab,lab,256,204,0.796875,204
2010,64_32,fixed_0.3,lab,lib,5,0,0.0,4
2010,64_32,fixed_0.3,lab,natSW,1,0,0.0,1
2010,64_32,fixed_0.3,lab,oth,1,0,0.0,1
2010,64_32,fixed_0.3,lib,con,12,10,0.8333333333333334,2
2010,64_32,fixed_0.3,lib,lab,1,0,0.0,1
2010,64_32,fixed_0.3,lib,lib,49,29,0.5918367346938775,29
2010,64_32,fixed_0.3,natSW,natSW,8,5,0.625,5
2010,64_32,fixed_0.3,oth,lab,1,0,0.0,0
2015,16,validation_all_rates,con,con,295,251,0.8508474576271187,251
2015,16,validation_all_rates,con,lab,10,8,0.8,2
2015,16,validation_all_rates,con,oth,1,0,0.0,1
