stage_full,train_through,validation_year_full,evaluation_year,architecture,learning_rate_full,patience,seeds_full,validation_accuracy_full,validation_changed_seat_accuracy_full,validation_changed_seats_full,validation_log_loss_full,validation_brier_score_full,validation_rows_full,validation_unseen_winners_full,evaluation_accuracy_full,evaluation_changed_seat_accuracy_full,evaluation_changed_seats_full,evaluation_log_loss_full,evaluation_brier_score_full,evaluation_rows_full,evaluation_unseen_winners_full,policy_full,stage_midrange,validation_year_midrange,learning_rate_midrange,seeds_midrange,validation_accuracy_midrange,validation_changed_seat_accuracy_midrange,validation_changed_seats_midrange,validation_log_loss_midrange,validation_brier_score_midrange,validation_rows_midrange,validation_unseen_winners_midrange,evaluation_accuracy_midrange,evaluation_changed_seat_accuracy_midrange,evaluation_changed_seats_midrange,evaluation_log_loss_midrange,evaluation_brier_score_midrange,evaluation_rows_midrange,evaluation_unseen_winners_midrange,policy_midrange,same_rate,midrange_accuracy_delta_pp,midrange_log_loss_delta
confirmation,2001,2005,2010,16,0.5,10,10,0.9028662420382164,0.4912280701754385,57,0.2852118551459972,0.1471677810303921,628,0,0.8354430379746836,0.875,112,0.4003243732441728,0.2328369382589148,632,0,validation_all_rates,confirmation,2005,0.5,10,0.9028662420382164,0.4912280701754385,57,0.2852118551459972,0.1471677810303921,628,0,0.8354430379746836,0.875,112,0.4003243732441728,0.2328369382589148,632,0,validation_midrange,True,0.0,0.0
confirmation,2001,2005,2010,16,1.0,20,10,0.9060509554140128,0.4912280701754385,57,0.2734829749951776,0.1418911087431396,628,0,0.8560126582278481,0.8303571428571429,112,0.3534498617113686,0.1982407584889142,632,0,validation_all_rates,confirmation,2005,0.5,10,0.9028662420382164,0.4912280701754385,57,0.2852118551459972,0.1471677810303921,628,0,0.8354430379746836,0.875,112,0.4003243732441728,0.2328369382589148,632,0,validation_midrange,False,-2.0569620253164556,0.0468745115328042
confirmation,2001,2005,2010,16,0.5,50,10,0.9092356687898088,0.4385964912280701,57,0.270726321390412,0.1370514459938913,628,0,0.8639240506329114,0.8392857142857143,112,0.3381520086052895,0.1860572244350082,632,0,validation_all_rates,confirmation,2005,0.5,10,0.9092356687898088,0.4385964912280701,57,0.270726321390412,0.1370514459938913,628,0,0.8639240506329114,0.8392857142857143,112,0.3381520086052895,0.1860572244350082,632,0,validation_midrange,True,0.0,0.0
confirmation,2001,2005,2010,32,1.0,10,10,0.9012738853503184,0.4385964912280701,57,0.2745210051944522,0.1419449265860338,628,0,0.8481012658227848,0.8660714285714286,112,0.361105778982026,0.2060820804881507,632,0,validation_all_rates,confirmation,2005,0.5,10,0.9124203821656052,0.4736842105263157,57,0.2823204454457304,0.1429812601925522,628,0,0.8560126582278481,0.875,112,0.3658257103845963,0.2071450397929964,632,0,validation_midrange,False,0.7911392405063333,0.004719931402570321
confirmation,2001,2005,2010,32,1.0,20,10,0.9012738853503184,0.4385964912280701,57,0.2745210051944522,0.1419449265860338,628,0,0.8481012658227848,0.8660714285714286,112,0.361105778982026,0.2060820804881507,632,0,validation_all_rates,confirmation,2005,0.5,10,0.9124203821656052,0.4736842105263157,57,0.2823204454457304,0.1429812601925522,628,0,0.8560126582278481,0.875,112,0.3658257103845963,0.2071450397929964,632,0,validation_midrange,False,0.7911392405063333,0.004719931402570321
confirmation,2001,2005,2010,32,1.0,50,10,0.9012738853503184,0.4385964912280701,57,0.2745210051944522,0.1419449265860338,628,0,0.8481012658227848,0.8660714285714286,112,0.361105778982026,0.2060820804881507,632,0,validation_all_rates,confirmation,2005,0.3,10,0.9060509554140128,0.5263157894736842,57,0.2822317997307301,0.1451151365404878,628,0,0.8528481012658228,0.875,112,0.3663040374468734,0.2068219652206194,632,0,validation_midrange,False,0.4746835443038,0.005198258464847394
confirmation,2001,2005,2010,32_16,1.0,10,10,0.9028662420382164,0.4561403508771929,57,0.2888480367994591,0.1460022163475579,628,0,0.8734177215189873,0.8482142857142857,112,0.35282106373479,0.1928668450279258,632,0,validation_all_rates,confirmation,2005,0.5,10,0.8964968152866242,0.4912280701754385,57,0.2905609831940337,0.1480948376191549,628,0,0.8607594936708861,0.8482142857142857,112,0.3584422257294347,0.2003945927122191,632,0,validation_midrange,False,-1.2658227848101222,0.005621161994644686
confirmation,2001,2005,2010,32_16,1.0,20,10,0.9028662420382164,0.4561403508771929,57,0.2888480367994591,0.1460022163475579,628,0,0.8734177215189873,0.8482142857142857,112,0.35282106373479,0.1928668450279258,632,0,validation_all_rates,confirmation,2005,0.5,10,0.8964968152866242,0.4912280701754385,57,0.2905609831940337,0.1480948376191549,628,0,0.8607594936708861,0.8482142857142857,112,0.3584422257294347,0.2003945927122191,632,0,validation_midrange,False,-1.2658227848101222,0.005621161994644686
confirmation,2001,2005,2010,32_16,1.0,50,10,0.9028662420382164,0.4561403508771929,57,0.2888480367994591,0.1460022163475579,628,0,0.8734177215189873,0.8482142857142857,112,0.35282106373479,0.1928668450279258,632,0,validation_all_rates,confirmation,2005,0.5,10,0.8964968152866242,0.4912280701754385,57,0.2905609831940337,0.1480948376191549,628,0,0.8607594936708861,0.8482142857142857,112,0.3584422257294347,0.2003945927122191,632,0,validation_midrange,False,-1.2658227848101222,0.005621161994644686
confirmation,2001,2005,2010,64_32,1.0,10,10,0.9140127388535032,0.4210526315789473,57,0.2748490007569054,0.13447842674364,628,0,0.8924050632911392,0.8303571428571429,112,0.3051705595202954,0.1623767514902334,632,0,validation_all_rates,confirmation,2005,0.5,10,0.9044585987261148,0.4736842105263157,57,0.2809409103751722,0.143773972056089,628,0,0.8686708860759493,0.8125,112,0.3280716235658245,0.1841800356992803,632,0,validation_midrange,False,-2.373417721518989,0.02290106404552905
