patience,best_epoch,stopping_epoch,best_validation_loss,hit_epoch_cap,parameters,elapsed_seconds,stage,train_through,validation_year,architecture,learning_rate,seed,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners
10,9,19,0.30138781666755676,False,1157,1.3036906359998284,screening,2005,2010,32,0.1,101225,0.8876582278481012,0.7857142857142857,112,0.3013878219243238,0.16141268134832534,632,0
20,37,57,0.28556856513023376,False,1157,3.9652678749998813,screening,2005,2010,32,0.1,101225,0.8892405063291139,0.6785714285714286,112,0.28556852500350427,0.15214478401238782,632,0
50,37,87,0.28556856513023376,False,1157,6.079802410999946,screening,2005,2010,32,0.1,101225,0.8892405063291139,0.6785714285714286,112,0.28556852500350427,0.15214478401238782,632,0
10,10,20,0.2789006233215332,False,1157,1.4904672739999114,screening,2005,2010,32,0.2,101223,0.8987341772151899,0.7232142857142857,112,0.27890061180562564,0.14709519931531553,632,0
20,10,30,0.2789006233215332,False,1157,2.2297167950000585,screening,2005,2010,32,0.2,101223,0.8987341772151899,0.7232142857142857,112,0.27890061180562564,0.14709519931531553,632,0
50,10,60,0.2789006233215332,False,1157,4.286111111000082,screening,2005,2010,32,0.2,101223,0.8987341772151899,0.7232142857142857,112,0.27890061180562564,0.14709519931531553,632,0
10,4,14,0.27731987833976746,False,1157,0.9004468739999538,screening,2005,2010,32,0.2,101224,0.8971518987341772,0.6517857142857143,112,0.2773198670859281,0.14592451925160305,632,0
20,4,24,0.27731987833976746,False,1157,1.5691930329999195,screening,2005,2010,32,0.2,101224,0.8971518987341772,0.6517857142857143,112,0.2773198670859281,0.14592451925160305,632,0
50,4,54,0.27731987833976746,False,1157,3.612079746999825,screening,2005,2010,32,0.2,101224,0.8971518987341772,0.6517857142857143,112,0.2773198670859281,0.14592451925160305,632,0
10,15,25,0.29596391320228577,False,1157,1.800418628999978,screening,2005,2010,32,0.2,101225,0.8971518987341772,0.75,112,0.2959639214826473,0.1578818750727797,632,0
20,15,35,0.29596391320228577,False,1157,2.5059577230003924,screening,2005,2010,32,0.2,101225,0.8971518987341772,0.75,112,0.2959639214826473,0.1578818750727797,632,0
50,15,65,0.29596391320228577,False,1157,4.673860409000099,screening,2005,2010,32,0.2,101225,0.8971518987341772,0.75,112,0.2959639214826473,0.1578818750727797,632,0
10,5,15,0.2804601788520813,False,1157,1.069595100999777,screening,2005,2010,32,0.3,101223,0.9050632911392406,0.6964285714285714,112,0.28046015847215694,0.14773901514470508,632,0
20,5,25,0.2804601788520813,False,1157,1.8111071449998235,screening,2005,2010,32,0.3,101223,0.9050632911392406,0.6964285714285714,112,0.28046015847215694,0.14773901514470508,632,0
50,5,55,0.2804601788520813,False,1157,3.8440103230000204,screening,2005,2010,32,0.3,101223,0.9050632911392406,0.6964285714285714,112,0.28046015847215694,0.14773901514470508,632,0
10,4,14,0.27833762764930725,False,1157,0.9565977540000858,screening,2005,2010,32,0.3,101224,0.9034810126582279,0.6785714285714286,112,0.27833763050672805,0.14647337983255515,632,0
20,4,24,0.27833762764930725,False,1157,1.6022640900000624,screening,2005,2010,32,0.3,101224,0.9034810126582279,0.6785714285714286,112,0.27833763050672805,0.14647337983255515,632,0
50,4,54,0.27833762764930725,False,1157,3.788453182000012,screening,2005,2010,32,0.3,101224,0.9034810126582279,0.6785714285714286,112,0.27833763050672805,0.14647337983255515,632,0
10,8,18,0.2867274582386017,False,1157,1.2126515199997812,screening,2005,2010,32,0.3,101225,0.8924050632911392,0.6696428571428571,112,0.2867274471756887,0.15261094875813944,632,0
20,8,28,0.2867274582386017,False,1157,1.9401786759999595,screening,2005,2010,32,0.3,101225,0.8924050632911392,0.6696428571428571,112,0.2867274471756887,0.15261094875813944,632,0
50,8,58,0.2867274582386017,False,1157,4.387199925999994,screening,2005,2010,32,0.3,101225,0.8924050632911392,0.6696428571428571,112,0.2867274471756887,0.15261094875813944,632,0
10,2,12,0.28434911370277405,False,1157,0.8289997740002946,screening,2005,2010,32,0.5,101223,0.8971518987341772,0.5982142857142857,112,0.2843491484710288,0.15116377109441112,632,0
20,2,22,0.28434911370277405,False,1157,1.4768420919999699,screening,2005,2010,32,0.5,101223,0.8971518987341772,0.5982142857142857,112,0.2843491484710288,0.15116377109441112,632,0
50,2,52,0.28434911370277405,False,1157,3.4888412220002465,screening,2005,2010,32,0.5,101223,0.8971518987341772,0.5982142857142857,112,0.2843491484710288,0.15116377109441112,632,0
10,4,14,0.28172701597213745,False,1157,1.0495218700002624,screening,2005,2010,32,0.5,101224,0.8955696202531646,0.6160714285714286,112,0.2817270028494639,0.1494468135022576,632,0
20,4,24,0.28172701597213745,False,1157,1.8289821520002079,screening,2005,2010,32,0.5,101224,0.8955696202531646,0.6160714285714286,112,0.2817270028494639,0.1494468135022576,632,0
50,4,54,0.28172701597213745,False,1157,3.861038421000103,screening,2005,2010,32,0.5,101224,0.8955696202531646,0.6160714285714286,112,0.2817270028494639,0.1494468135022576,632,0
10,8,18,0.29527658224105835,False,1157,1.2979845340000793,screening,2005,2010,32,0.5,101225,0.8971518987341772,0.5803571428571429,112,0.29527652619490335,0.1586049921616312,632,0
