stage,train_through,validation_year,evaluation_year,architecture,learning_rate,patience,seeds,validation_accuracy,validation_changed_seat_accuracy,validation_changed_seats,validation_log_loss,validation_brier_score,validation_rows,validation_unseen_winners,evaluation_accuracy,evaluation_changed_seat_accuracy,evaluation_changed_seats,evaluation_log_loss,evaluation_brier_score,evaluation_rows,evaluation_unseen_winners,policy
confirmation,2015,2017,2019,32_16,0.3,50,10,0.8924050632911392,0.08955223880597014,67,0.314572218068101,0.16584528409577287,632,0,0.9018987341772152,0.35526315789473684,76,0.24370383581672622,0.14249094465448156,632,0,fixed_0.3
confirmation,2015,2017,2019,32_16,0.5,50,10,0.8924050632911392,0.08955223880597014,67,0.332768090598661,0.16978955665646758,632,0,0.9066455696202531,0.39473684210526316,76,0.22287723812943855,0.13092862459458668,632,0,fixed_0.5
confirmation,2015,2017,2019,32_16,1.0,50,10,0.8924050632911392,0.08955223880597014,67,0.35683806358300674,0.18633662217854097,632,0,0.9098101265822784,0.5394736842105263,76,0.20910368326256806,0.1204967993026039,632,0,fixed_1
confirmation,2015,2017,2019,16,0.05,10,10,0.8955696202531646,0.08955223880597014,67,0.30011909142746773,0.16065883555870347,632,0,0.8829113924050633,0.2236842105263158,76,0.29604432046793605,0.17146068793393215,632,0,validation_all_rates
confirmation,2015,2017,2019,16,0.1,10,10,0.8955696202531646,0.08955223880597014,67,0.30102759316479905,0.16067163676791862,632,0,0.8924050632911392,0.2631578947368421,76,0.279088177050827,0.16112867782946144,632,0,validation_midrange
confirmation,2015,2017,2019,16,0.1,10,10,0.8955696202531646,0.08955223880597014,67,0.30102759316479905,0.16067163676791862,632,0,0.8924050632911392,0.2631578947368421,76,0.279088177050827,0.16112867782946144,632,0,validation_compact
confirmation,2015,2017,2019,16,0.01,10,10,0.8955696202531646,0.08955223880597014,67,0.30175786805305954,0.16144757920796746,632,0,0.8813291139240507,0.2236842105263158,76,0.29760072671599985,0.17206267262935424,632,0,fixed_0.01
confirmation,2015,2017,2019,16,0.03,10,10,0.8955696202531646,0.08955223880597014,67,0.30125574580744124,0.16123137786790628,632,0,0.8781645569620253,0.2236842105263158,76,0.30149273077669664,0.17448851513849117,632,0,fixed_0.03
confirmation,2015,2017,2019,16,0.05,10,10,0.8955696202531646,0.08955223880597014,67,0.30011909142746773,0.16065883555870347,632,0,0.8829113924050633,0.2236842105263158,76,0.29604432046793605,0.17146068793393215,632,0,fixed_0.05
confirmation,2015,2017,2019,16,0.1,10,10,0.8955696202531646,0.08955223880597014,67,0.30102759316479905,0.16067163676791862,632,0,0.8924050632911392,0.2631578947368421,76,0.279088177050827,0.16112867782946144,632,0,fixed_0.1
confirmation,2015,2017,2019,16,0.2,10,10,0.8971518987341772,0.08955223880597014,67,0.30804201987499363,0.16547438567034015,632,0,0.8987341772151899,0.3026315789473684,76,0.259451156794391,0.149962982770224,632,0,fixed_0.2
confirmation,2015,2017,2019,16,0.3,10,10,0.8924050632911392,0.08955223880597014,67,0.351833306285795,0.18328337213576967,632,0,0.9113924050632911,0.4342105263157895,76,0.22275254114382054,0.12654106404727758,632,0,fixed_0.3
confirmation,2015,2017,2019,16,0.5,10,10,0.8892405063291139,0.08955223880597014,67,0.40092758165645387,0.19143030001927464,632,0,0.9145569620253164,0.5,76,0.20376371912455385,0.1169119024998346,632,0,fixed_0.5
confirmation,2015,2017,2019,16,1.0,10,10,0.8939873417721519,0.1044776119402985,67,0.37132101884563007,0.1757255134176845,632,0,0.9018987341772152,0.3684210526315789,76,0.23277272826922504,0.13571710649539023,632,0,fixed_1
confirmation,2015,2017,2019,16,0.05,20,10,0.8955696202531646,0.08955223880597014,67,0.30011909142746773,0.16065883555870347,632,0,0.8829113924050633,0.2236842105263158,76,0.29604432046793605,0.17146068793393215,632,0,validation_all_rates
confirmation,2015,2017,2019,16,0.1,20,10,0.8955696202531646,0.08955223880597014,67,0.30102759316479905,0.16067163676791862,632,0,0.8924050632911392,0.2631578947368421,76,0.279088177050827,0.16112867782946144,632,0,validation_midrange
confirmation,2015,2017,2019,16,0.1,20,10,0.8955696202531646,0.08955223880597014,67,0.30102759316479905,0.16067163676791862,632,0,0.8924050632911392,0.2631578947368421,76,0.279088177050827,0.16112867782946144,632,0,validation_compact
confirmation,2015,2017,2019,16,0.01,20,10,0.8955696202531646,0.08955223880597014,67,0.30175786805305954,0.16144757920796746,632,0,0.8813291139240507,0.2236842105263158,76,0.29760072671599985,0.17206267262935424,632,0,fixed_0.01
confirmation,2015,2017,2019,16,0.03,20,10,0.8955696202531646,0.08955223880597014,67,0.30125574580744124,0.16123137786790628,632,0,0.8781645569620253,0.2236842105263158,76,0.30149273077669664,0.17448851513849117,632,0,fixed_0.03
confirmation,2015,2017,2019,16,0.05,20,10,0.8955696202531646,0.08955223880597014,67,0.30011909142746773,0.16065883555870347,632,0,0.8829113924050633,0.2236842105263158,76,0.29604432046793605,0.17146068793393215,632,0,fixed_0.05
confirmation,2015,2017,2019,16,0.1,20,10,0.8955696202531646,0.08955223880597014,67,0.30102759316479905,0.16067163676791862,632,0,0.8924050632911392,0.2631578947368421,76,0.279088177050827,0.16112867782946144,632,0,fixed_0.1
confirmation,2015,2017,2019,16,0.2,20,10,0.8971518987341772,0.08955223880597014,67,0.30804201987499363,0.16547438567034015,632,0,0.8987341772151899,0.3026315789473684,76,0.259451156794391,0.149962982770224,632,0,fixed_0.2
confirmation,2015,2017,2019,16,0.3,20,10,0.8924050632911392,0.08955223880597014,67,0.351833306285795,0.18328337213576967,632,0,0.9113924050632911,0.4342105263157895,76,0.22275254114382054,0.12654106404727758,632,0,fixed_0.3
confirmation,2015,2017,2019,16,0.5,20,10,0.8908227848101266,0.08955223880597014,67,0.37112078661999837,0.17980249436952514,632,0,0.9066455696202531,0.4342105263157895,76,0.2109516759468141,0.12338232088535099,632,0,fixed_0.5
confirmation,2015,2017,2019,16,1.0,20,10,0.8971518987341772,0.1791044776119403,67,0.3648129332114557,0.1719472726996343,632,0,0.9018987341772152,0.34210526315789475,76,0.24396840358835115,0.14316701590332095,632,0,fixed_1
confirmation,2015,2017,2019,16,0.05,50,10,0.8955696202531646,0.08955223880597014,67,0.30011909142746773,0.16065883555870347,632,0,0.8829113924050633,0.2236842105263158,76,0.29604432046793605,0.17146068793393215,632,0,validation_all_rates
confirmation,2015,2017,2019,16,0.1,50,10,0.8955696202531646,0.08955223880597014,67,0.30102759316479905,0.16067163676791862,632,0,0.8924050632911392,0.2631578947368421,76,0.279088177050827,0.16112867782946144,632,0,validation_midrange
confirmation,2015,2017,2019,16,0.1,50,10,0.8955696202531646,0.08955223880597014,67,0.30102759316479905,0.16067163676791862,632,0,0.8924050632911392,0.2631578947368421,76,0.279088177050827,0.16112867782946144,632,0,validation_compact
confirmation,2015,2017,2019,16,0.01,50,10,0.8955696202531646,0.08955223880597014,67,0.30175786805305954,0.16144757920796746,632,0,0.8813291139240507,0.2236842105263158,76,0.29760072671599985,0.17206267262935424,632,0,fixed_0.01
confirmation,2015,2017,2019,16,0.03,50,10,0.8955696202531646,0.08955223880597014,67,0.30125574580744124,0.16123137786790628,632,0,0.8781645569620253,0.2236842105263158,76,0.30149273077669664,0.17448851513849117,632,0,fixed_0.03
confirmation,2015,2017,2019,16,0.05,50,10,0.8955696202531646,0.08955223880597014,67,0.30011909142746773,0.16065883555870347,632,0,0.8829113924050633,0.2236842105263158,76,0.29604432046793605,0.17146068793393215,632,0,fixed_0.05
