constituency_name,country/region,election,majority_proportion,winner,constituency_id,boundary_set,election_type,con_share,lab_share,lib_share,natSW_share,previous_election
Nottingham East,East Midlands,2024,0.5355347380566468,lab,E14001410,2023-current,actual,0.10782670805747095,0.5355347380566468,0.04782835636383616,0.0,2019_notional
Nottingham North and Kimberley,East Midlands,2024,0.470762990259091,lab,E14001411,2023-current,actual,0.1938755106121633,0.470762990259091,0.038163795812266116,0.0,2019_notional
Nottingham South,East Midlands,2024,0.47382827944888833,lab,E14001412,2023-current,actual,0.1607408984458165,0.47382827944888833,0.06262355911067854,0.0,2019_notional
Nuneaton,West Midlands,2024,0.36920389197583287,lab,E14001413,2023-current,actual,0.2847887802392449,0.36920389197583287,0.032514012568849636,0.0,2019_notional
Old Bexley and Sidcup,London,2024,0.37599983204920956,con,E14001414,2023-current,actual,0.37599983204920956,0.3015136564986459,0.04045514664203388,0.0,2019_notional
Oldham East and Saddleworth,North West,2024,0.3517034818420067,lab,E14001415,2023-current,actual,0.1706726569324847,0.3517034818420067,0.08451266691626108,0.0,2019_notional
"Oldham West, Chadderton and Royton",North West,2024,0.3430378762346719,lab,E14001416,2023-current,actual,0.10541052031213544,0.3430378762346719,0.03295050942369015,0.0,2019_notional
Orkney and Shetland,Scotland,2024,0.5506573859242073,lib,S14000051,2023-current,actual,0.028325599381283838,0.07216744006187162,0.5506573859242073,0.17328886310904873,2019_notional
Orpington,London,2024,0.379918824474204,con,E14001417,2023-current,actual,0.379918824474204,0.2688342413126994,0.10261975560523517,0.0,2019_notional
Ossett and Denby Dale,Yorkshire and The Humber,2024,0.3927700407995806,lab,E14001418,2023-current,actual,0.2892439541403597,0.3927700407995806,0.04068561529870308,0.0,2019_notional
Oxford East,South East,2024,0.49670826872728197,lab,E14001419,2023-current,actual,0.12045957143946519,0.49670826872728197,0.08736432729213797,0.0,2019_notional
Oxford West and Abingdon,South East,2024,0.5090221313970172,lib,E14001420,2023-current,actual,0.18522544458454715,0.13002739249532588,0.5090221313970172,0.0,2019_notional
Paisley and Renfrewshire North,Scotland,2024,0.4711336978250921,lab,S14000101,2023-current,actual,0.06404296827958283,0.4711336978250921,0.0330932825935114,0.3186011223777066,2019_notional
Paisley and Renfrewshire South,Scotland,2024,0.4743599060145823,lab,S14000102,2023-current,actual,0.05375093864302497,0.4743599060145823,0.0318533052346002,0.3162560860402587,2019_notional
Peckham,London,2024,0.5880093821687243,lab,E14001421,2023-current,actual,0.05866432971621517,0.5880093821687243,0.07021161430007475,0.0,2019_notional
Pendle and Clitheroe,North West,2024,0.3449758309449459,lab,E14001422,2023-current,actual,0.32568336399024683,0.3449758309449459,0.043611241818881805,0.0,2019_notional
